game_id	url	TV	game_date	game_time_et	away_team	home_team	away_team_full_name	home_team_full_name	game_number_this_day	game_number_this_day_and_time	arena	city	away_team_espn_abbr	home_team_espn_abbr
299	https://www.nba.com/game/mil-vs-cha-0022000299		1/30/21	7:00 PM ET	MIL	CHA	Milwaukee Bucks	Charlotte Hornets	2	1	Spectrum Center	"Charlotte, NC"	mil	cha
300	https://www.nba.com/game/hou-vs-nop-0022000300		1/30/21	7:00 PM ET	HOU	NOP	Houston Rockets	New Orleans Pelicans	3	2	Smoothie King Center	"New Orleans, LA"	hou	no
301	https://www.nba.com/game/sac-vs-mia-0022000301		1/30/21	8:00 PM ET	SAC	MIA	Sacramento Kings	Miami Heat	4	1	AmericanAirlines Arena	"Miami, FL"	sac	mia
302	https://www.nba.com/game/lal-vs-bos-0022000302	ABC	1/30/21	8:30 PM ET	LAL	BOS	Los Angeles Lakers	Boston Celtics	5	1	TD Garden	"Boston, MA"	lal	bos
303	https://www.nba.com/game/phx-vs-dal-0022000303		1/30/21	8:30 PM ET	PHX	DAL	Phoenix Suns	Dallas Mavericks	6	2	American Airlines Center	"Dallas, TX"	phx	dal
304	https://www.nba.com/game/mem-vs-sas-0022000304		1/30/21	8:30 PM ET	MEM	SAS	Memphis Grizzlies	San Antonio Spurs	7	3	AT&T Center	"San Antonio, TX"	mem	sas
305	https://www.nba.com/game/det-vs-gsw-0022000305		1/30/21	8:30 PM ET	DET	GSW	Detroit Pistons	Golden State Warriors	8	4	Chase Center	"San Francisco, CA"	det	gsw
306	https://www.nba.com/game/uta-vs-den-0022000306	NBA TV	1/31/21	3:30 PM ET	UTA	DEN	Utah Jazz	Denver Nuggets	1	1	Ball Arena	"Denver, CO"	uth	den
307	https://www.nba.com/game/phi-vs-ind-0022000307		1/31/21	5:00 PM ET	PHI	IND	Philadelphia 76ers	Indiana Pacers	2	1	Bankers Life Fieldhouse	"Indianapolis, IN"	phi	ind
308	https://www.nba.com/game/lac-vs-nyk-0022000308	Fox Sports Prime Tic	1/31/21	5:00 PM ET	LAC	NYK	LA Clippers	New York Knicks	3	2	Madison Square Garden	"New York, NY"	lac	nyk
309	https://www.nba.com/game/orl-vs-tor-0022000309		1/31/21	6:00 PM ET	ORL	TOR	Orlando Magic	Toronto Raptors	4	1	Amalie Arena	"Tampa, FL"	orl	tor
310	https://www.nba.com/game/bkn-vs-was-0022000310	NBA TV	1/31/21	7:00 PM ET	BKN	WAS	Brooklyn Nets	Washington Wizards	5	1	Capital One Arena	"Washington, DC"	bkn	was
311	https://www.nba.com/game/cle-vs-min-0022000311		1/31/21	7:30 PM ET	CLE	MIN	Cleveland Cavaliers	Minnesota Timberwolves	6	1	Target Center	"Minneapolis, MN"	cle	min
312	https://www.nba.com/game/min-vs-cle-0022000312		2/1/21	7:00 PM ET	MIN	CLE	Minnesota Timberwolves	Cleveland Cavaliers	1	1	Rocket Mortgage FieldHouse	"Cleveland, OH"	min	cle
313	https://www.nba.com/game/lal-vs-atl-0022000313	Spectrum SportsNet	2/1/21	7:30 PM ET	LAL	ATL	Los Angeles Lakers	Atlanta Hawks	2	1	State Farm Arena	"Atlanta, GA"	lal	atl
