row_num,game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,preview_url
698,0022200698,2023-01-21,10:00 pm ET,PHI,SAC,Philadelphia 76ers,Sacramento Kings,https://www.nba.com/game/phi-vs-sac-0022200698
699,0022200699,2023-01-22,3:30 pm ET,NOP,MIA,New Orleans Pelicans,Miami Heat,https://www.nba.com/game/nop-vs-mia-0022200699
700,0022200700,2023-01-22,6:00 pm ET,NYK,TOR,New York Knicks,Toronto Raptors,https://www.nba.com/game/nyk-vs-tor-0022200700
701,0022200701,2023-01-22,7:30 pm ET,LAC,DAL,LA Clippers,Dallas Mavericks,https://www.nba.com/game/lac-vs-dal-0022200701
702,0022200702,2023-01-22,8:00 pm ET,OKC,DEN,Oklahoma City Thunder,Denver Nuggets,https://www.nba.com/game/okc-vs-den-0022200702
703,0022200703,2023-01-22,8:00 pm ET,MEM,PHX,Memphis Grizzlies,Phoenix Suns,https://www.nba.com/game/mem-vs-phx-0022200703
704,0022200704,2023-01-22,8:30 pm ET,BKN,GSW,Brooklyn Nets,Golden State Warriors,https://www.nba.com/game/bkn-vs-gsw-0022200704
705,0022200705,2023-01-22,9:00 pm ET,LAL,POR,Los Angeles Lakers,Portland Trail Blazers,https://www.nba.com/game/lal-vs-por-0022200705
706,0022200706,2023-01-23,7:00 pm ET,MIL,DET,Milwaukee Bucks,Detroit Pistons,https://www.nba.com/game/mil-vs-det-0022200706
707,0022200707,2023-01-23,7:00 pm ET,BOS,ORL,Boston Celtics,Orlando Magic,https://www.nba.com/game/bos-vs-orl-0022200707
708,0022200708,2023-01-23,8:00 pm ET,ATL,CHI,Atlanta Hawks,Chicago Bulls,https://www.nba.com/game/atl-vs-chi-0022200708
709,0022200709,2023-01-23,8:00 pm ET,MIN,HOU,Minnesota Timberwolves,Houston Rockets,https://www.nba.com/game/min-vs-hou-0022200709
710,0022200710,2023-01-23,9:00 pm ET,CHA,UTA,Charlotte Hornets,Utah Jazz,https://www.nba.com/game/cha-vs-uta-0022200710
711,0022200711,2023-01-23,10:00 pm ET,SAS,POR,San Antonio Spurs,Portland Trail Blazers,https://www.nba.com/game/sas-vs-por-0022200711
