game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
game_0021900173,2019-11-15,10:30 PM,BOS,GSW,Boston Celtics,Golden State Warriors,7,1,bos,gsw
game_0021900174,2019-11-15,10:30 PM,SAC,LAL,Sacramento Kings,Los Angeles Lakers,8,2,sac,lal
game_0021900175,2019-11-16,6:00 PM,BKN,CHI,Brooklyn Nets,Chicago Bulls,1,1,bkn,chi
game_0021900176,2019-11-16,7:00 PM,MIL,IND,Milwaukee Bucks,Indiana Pacers,2,1,mil,ind
game_0021900177,2019-11-16,7:30 PM,CHA,NYK,Charlotte Hornets,New York Knicks,3,1,cha,nyk
game_0021900179,2019-11-16,8:00 PM,HOU,MIN,Houston Rockets,Minnesota Timberwolves,4,1,hou,min
game_0021900178,2019-11-16,8:00 PM,NOP,MIA,New Orleans Pelicans,Miami Heat,5,2,no,mia
game_0021900181,2019-11-16,8:30 PM,POR,SAS,Portland Trail Blazers,San Antonio Spurs,6,1,por,sas
game_0021900180,2019-11-16,8:30 PM,TOR,DAL,Toronto Raptors,Dallas Mavericks,7,2,tor,dal
game_0021900182,2019-11-16,10:30 PM,ATL,LAC,Atlanta Hawks,LA Clippers,8,1,atl,lac
game_0021900183,2019-11-17,3:00 PM,PHI,CLE,Philadelphia 76ers,Cleveland Cavaliers,1,1,phi,cle
game_0021900184,2019-11-17,3:30 PM,BOS,SAC,Boston Celtics,Sacramento Kings,2,1,bos,sac
game_0021900186,2019-11-17,6:00 PM,DEN,MEM,Denver Nuggets,Memphis Grizzlies,3,1,den,mem
game_0021900185,2019-11-17,6:00 PM,WAS,ORL,Washington Wizards,Orlando Magic,4,2,was,orl
game_0021900187,2019-11-17,7:00 PM,GSW,NOP,Golden State Warriors,New Orleans Pelicans,5,1,gsw,no
game_0021900188,2019-11-17,9:30 PM,ATL,LAL,Atlanta Hawks,Los Angeles Lakers,6,1,atl,lal
game_0021900189,2019-11-18,7:00 PM,CLE,NYK,Cleveland Cavaliers,New York Knicks,1,1,cle,nyk
game_0021900191,2019-11-18,7:30 PM,CHA,TOR,Charlotte Hornets,Toronto Raptors,2,1,cha,tor
game_0021900190,2019-11-18,7:30 PM,IND,BKN,Indiana Pacers,Brooklyn Nets,3,2,ind,bkn
game_0021900192,2019-11-18,8:00 PM,MIL,CHI,Milwaukee Bucks,Chicago Bulls,4,1,mil,chi
game_0021900193,2019-11-18,8:00 PM,POR,HOU,Portland Trail Blazers,Houston Rockets,5,2,por,hou
game_0021900194,2019-11-18,8:30 PM,SAS,DAL,San Antonio Spurs,Dallas Mavericks,6,1,sas,dal
game_0021900195,2019-11-18,9:00 PM,BOS,PHX,Boston Celtics,Phoenix Suns,7,1,bos,phx
game_0021900196,2019-11-18,9:00 PM,MIN,UTA,Minnesota Timberwolves,Utah Jazz,8,2,min,uth
game_0021900197,2019-11-18,10:30 PM,OKC,LAC,Oklahoma City Thunder,LA Clippers,9,1,okc,lac
game_0021900198,2019-11-19,8:00 PM,GSW,MEM,Golden State Warriors,Memphis Grizzlies,1,1,gsw,mem
game_0021900199,2019-11-19,8:00 PM,POR,NOP,Portland Trail Blazers,New Orleans Pelicans,2,2,por,no
game_0021900200,2019-11-19,10:00 PM,PHX,SAC,Phoenix Suns,Sacramento Kings,3,1,phx,sac
