row_num,game_id,game_url,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,tv,local_tv,radio,arena,city,away_team_espn_abbr,home_team_espn_abbr
1060,0022301029,https://www.nba.com/game/cle-vs-mia-0022301029,2024-03-24,6:00 pm,CLE,MIA,Cleveland Cavaliers,Miami Heat,3,1,LEAGUE PASS,WQAM 560 / S: WAQI 710|WTAM/WMMS/La Mega,Bally Sports Sun|Bally Sports Ohio,,,cle,mia
1061,0022301030,https://www.nba.com/game/okc-vs-mil-0022301030,2024-03-24,7:00 pm,OKC,MIL,Oklahoma City Thunder,Milwaukee Bucks,4,1,NBA TV,620 AM/103.3 FM WTMJ|WWLS 98.1FM OKC,Bally Sports WI|Bally Sports OK,,,okc,mil
1062,0022301031,https://www.nba.com/game/gsw-vs-min-0022301031,2024-03-24,7:00 pm,GSW,MIN,Golden State Warriors,Minnesota Timberwolves,5,2,LEAGUE PASS,95.7 The Game,Bally Sports North|NBC Sports Bay Area,,,gsw,min
1063,0022301032,https://www.nba.com/game/ind-vs-lal-0022301032,2024-03-24,10:00 pm,IND,LAL,Indiana Pacers,Los Angeles Lakers,6,1,NBA TV,ESPN LA 710/1330 KWKW|93.5/107.5 The Fan,Spectrum SportsNet|Bally Sports Indiana,,,ind,lal
1064,0022301033,https://www.nba.com/game/cha-vs-cle-0022301033,2024-03-25,7:00 pm,CHA,CLE,Charlotte Hornets,Cleveland Cavaliers,1,1,LEAGUE PASS,WTAM/WMMS/La Mega|WFNZ 92.7 FM,Bally Sports Ohio|Bally Sports SE-CHA,,,cha,cle
1065,0022301034,https://www.nba.com/game/bos-vs-atl-0022301034,2024-03-25,7:30 pm,BOS,ATL,Boston Celtics,Atlanta Hawks,2,1,NBA TV,WZGC|98.5 The Sports Hub,Bally Sports SE-ATL|NBC Sports Boston,,,bos,atl
1066,0022301035,https://www.nba.com/game/det-vs-nyk-0022301035,2024-03-25,7:30 pm,DET,NYK,Detroit Pistons,New York Knicks,3,2,LEAGUE PASS,ESPN NY 98.7|97.1 FM The Ticket,MSG|Bally Sports DET,,,det,nyk
1067,0022301036,https://www.nba.com/game/bkn-vs-tor-0022301036,2024-03-25,7:30 pm,BKN,TOR,Brooklyn Nets,Toronto Raptors,4,3,LEAGUE PASS,Sportsnet 590|101.9 FM / 660 AM,SN|YES,,,bkn,tor
1068,0022301037,https://www.nba.com/game/was-vs-chi-0022301037,2024-03-25,8:00 pm,WAS,CHI,Washington Wizards,Chicago Bulls,5,1,LEAGUE PASS,670 AM / S: 1200 AM|The Team 980 AM / WFED 1500 AM,NBC Sports Chicago|MNMT,,,was,chi
1069,0022301038,https://www.nba.com/game/por-vs-hou-0022301038,2024-03-25,8:00 pm,POR,HOU,Portland Trail Blazers,Houston Rockets,6,2,LEAGUE PASS,790 AM / S: 93.3 FM|Rip City Radio 620,Space City Home Network|ROOT SPORTS/ROOT SPORTS Plus,,,por,hou
1070,0022301039,https://www.nba.com/game/phx-vs-sas-0022301039,2024-03-25,8:00 pm,PHX,SAS,Phoenix Suns,San Antonio Spurs,7,3,LEAGUE PASS,WOAI/KXTN|ESPN 620 / S: KSUN,Bally Sports SW-SA|AZ Family Sports Network 44,,,phx,sas
1071,0022301040,https://www.nba.com/game/mem-vs-den-0022301040,2024-03-25,9:00 pm,MEM,DEN,Memphis Grizzlies,Denver Nuggets,8,1,LEAGUE PASS,Altitude Sports Radio 92.5 FM|ESPN 92.9FM/680AM,Altitude|Bally Sports SE-MEM,,,mem,den
1072,0022301041,https://www.nba.com/game/dal-vs-uta-0022301041,2024-03-25,9:00 pm,DAL,UTA,Dallas Mavericks,Utah Jazz,9,2,LEAGUE PASS,KSL 1160 AM & 102.7 FM / S: KBMG 106.3 FM|97.1 FM / S: 99.1 FM,KJZZ|Bally Sports SW-DAL,,,dal,uth
1073,0022301042,https://www.nba.com/game/phi-vs-sac-0022301042,2024-03-25,10:00 pm,PHI,SAC,Philadelphia 76ers,Sacramento Kings,10,1,NBA TV,Sactown Sports 1140 AM|97.5 The Fanatic,NBCSCA|NBC Sports Philadelphia,,,phi,sac
1074,0022301043,https://www.nba.com/game/ind-vs-lac-0022301043,2024-03-25,10:30 pm,IND,LAC,Indiana Pacers,LA Clippers,11,1,LEAGUE PASS,AM 570 KLAC/S: KWKW|93.5/107.5 The Fan,Bally Sports SoCal|Bally Sports Indiana,,,ind,lac
1075,0022301044,https://www.nba.com/game/gsw-vs-mia-0022301044,2024-03-26,7:30 pm,GSW,MIA,Golden State Warriors,Miami Heat,1,1,LEAGUE PASS,WQAM 560 / S: WAQI 710|95.7 The Game,Bally Sports Sun|NBC Sports Bay Area,,,gsw,mia
1076,0022301045,https://www.nba.com/game/lal-vs-mil-0022301045,2024-03-26,7:30 pm,LAL,MIL,Los Angeles Lakers,Milwaukee Bucks,2,2,TNT,620 AM/103.3 FM WTMJ|ESPN LA 710/1330 KWKW,Spectrum SportsNet,,,lal,mil
1077,0022301046,https://www.nba.com/game/okc-vs-nop-0022301046,2024-03-26,8:00 pm,OKC,NOP,Oklahoma City Thunder,New Orleans Pelicans,3,1,LEAGUE PASS,WRNO 99.5FM|WWLS 98.1FM OKC,Bally Sports New Orleans|Bally Sports OK,,,okc,no
1078,0022301047,https://www.nba.com/game/dal-vs-sac-0022301047,2024-03-26,10:00 pm,DAL,SAC,Dallas Mavericks,Sacramento Kings,4,1,TNT,Sactown Sports 1140 AM|97.1 FM / S: 99.1 FM,,,,dal,sac
1079,0022301048,https://www.nba.com/game/cle-vs-cha-0022301048,2024-03-27,7:00 pm,CLE,CHA,Cleveland Cavaliers,Charlotte Hornets,1,1,LEAGUE PASS,WFNZ 92.7 FM|WTAM/WMMS/La Mega,Bally Sports SE-CHA|Bally Sports Ohio,,,cle,cha
1080,0022301049,https://www.nba.com/game/gsw-vs-orl-0022301049,2024-03-27,7:00 pm,GSW,ORL,Golden State Warriors,Orlando Magic,2,2,LEAGUE PASS,WYGM 96.9FM / 740AM|95.7 The Game,Bally Sports Florida|NBC Sports Bay Area,,,gsw,orl
1081,0022301050,https://www.nba.com/game/bkn-vs-was-0022301050,2024-03-27,7:00 pm,BKN,WAS,Brooklyn Nets,Washington Wizards,3,3,LEAGUE PASS,The Team 980 AM / WFED 1500 AM|101.9 FM / 660 AM,MNMT|YES,,,bkn,was
1082,0022301051,https://www.nba.com/game/por-vs-atl-0022301051,2024-03-27,7:30 pm,POR,ATL,Portland Trail Blazers,Atlanta Hawks,4,1,LEAGUE PASS,WZGC|Rip City Radio 620,Bally Sports SE-ATL|ROOT SPORTS/ROOT SPORTS Plus,,,por,atl
1083,0022301052,https://www.nba.com/game/lac-vs-phi-0022301052,2024-03-27,7:30 pm,LAC,PHI,LA Clippers,Philadelphia 76ers,5,2,ESPN,97.5 The Fanatic|AM 570 KLAC/S: KWKW,NBC Sports Philadelphia|Bally Sports SoCal,,,lac,phi
1084,0022301053,https://www.nba.com/game/nyk-vs-tor-0022301053,2024-03-27,7:30 pm,NYK,TOR,New York Knicks,Toronto Raptors,6,3,LEAGUE PASS,TSN Radio 1050|ESPN NY 98.7,TSN|MSG,,,nyk,tor
1085,0022301054,https://www.nba.com/game/ind-vs-chi-0022301054,2024-03-27,8:00 pm,IND,CHI,Indiana Pacers,Chicago Bulls,7,1,LEAGUE PASS,670 AM / S: 1200 AM|93.5/107.5 The Fan,NBC Sports Chicago|Bally Sports Indiana,,,ind,chi
1086,0022301055,https://www.nba.com/game/lal-vs-mem-0022301055,2024-03-27,8:00 pm,LAL,MEM,Los Angeles Lakers,Memphis Grizzlies,8,2,LEAGUE PASS,ESPN 92.9FM/680AM|ESPN LA 710/1330 KWKW,Bally Sports SE-MEM|Spectrum SportsNet,,,lal,mem
1087,0022301056,https://www.nba.com/game/det-vs-min-0022301056,2024-03-27,8:00 pm,DET,MIN,Detroit Pistons,Minnesota Timberwolves,9,3,LEAGUE PASS,97.1 FM The Ticket,Bally Sports North|Bally Sports DET,,,det,min
1088,0022301057,https://www.nba.com/game/hou-vs-okc-0022301057,2024-03-27,8:00 pm,HOU,OKC,Houston Rockets,Oklahoma City Thunder,10,4,LEAGUE PASS,WWLS/WKY|790 AM / S: 93.3 FM,Bally Sports OK|Space City Home Network,,,hou,okc
1089,0022301058,https://www.nba.com/game/sas-vs-uta-0022301058,2024-03-27,9:00 pm,SAS,UTA,San Antonio Spurs,Utah Jazz,11,1,LEAGUE PASS,KSL 97.5 FM / S: KBMG 106.3 FM|WOAI/KXTN,KJZZ|Bally Sports SW-SA,,,sas,uth
